	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TSPAN6	4038.16606542007	0.0197728507433454	0.116903975607384	0.169137539083799	0.865688458355076	0.975983517882904
TNMD	12.1201748128301	0.200903904164804	0.551118275556894	0.364538635489441	0.715455828620885	0.939505430683674
DPM1	955.470366148985	-0.00749921811643262	0.0905571525626665	-0.0828119911482761	0.934001034322411	0.9903106669913
SCYL3	330.049505958835	-0.268801862176433	0.149543758184987	-1.79747965036376	0.0722595058828288	0.396567226994736
C1orf112	571.246662724163	-0.154669083144317	0.203575215386283	-0.75976381923916	0.44739577336937	0.832883235488695
FGR	2.42554591457467	-0.00820156446584463	1.27099649085184	-0.00645286161281832	0.994851397076969	1
CFH	3.07993820717013	-1.21364047339927	1.08864567951285	-1.1148167822081	0.264928943334466	0.698757682459932
FUCA2	837.843738905896	-0.156356511529788	0.167352127890065	-0.934296524944698	0.35015095638707	0.767539767609276
GCLC	2345.56181209706	0.203055301571446	0.127272114768513	1.59544219046545	0.110613387698219	0.483144357936456
NFYA	1969.66027367568	0.0931159259082108	0.116444684940338	0.799658017503503	0.423908963150269	0.82035028832782
STPG1	359.555900308022	-0.400947524740383	0.174916542834996	-2.29222186902361	0.0218928436331568	0.209014847867271
NIPAL3	536.242871020195	-0.0411323531897922	0.17603407954015	-0.233661307499328	0.815247928393259	0.963883462969688
LAS1L	1177.33984479677	0.0285754915577232	0.0766863590603064	0.372628090678439	0.709425262873744	0.938349529137291
ENPP4	706.938329115585	-0.0140414265402805	0.128142886231578	-0.109576324938592	0.912745387534592	0.98429002246181
SEMA3F	439.953733349676	0.216868068916739	0.268422050150525	0.807936862098787	0.419126929568395	0.818306697853196
CFTR	745.387549153311	1.10922229201577	0.492186058691267	2.25366458969849	0.0242172766318666	0.219006696553646
ANKIB1	2673.32225484434	-0.024104711044636	0.0804376507207072	-0.299669505867738	0.764429260985452	0.952669966226584
CYP51A1	2332.48858701483	0.171974678375999	0.179149493377725	0.959950682156836	0.337080036633549	0.758840326943119
KRIT1	1219.95452161549	0.0237642147991085	0.106814759901866	0.222480627405252	0.823939752480674	0.966693850680095
RAD52	576.501059346649	0.233000863602267	0.195852760499918	1.18967362526588	0.234174695609107	0.668113767481288
MYH16	2.87817359493511	1.65657944803158	0.479985564759956	3.45131097611247	0.000557870377540647	0.021556287789871
BAD	112.194400102266	0.130365383960868	0.273980086384074	0.475820654272362	0.634202153900251	0.913623489399632
LAP3	1178.33490753291	-0.122740868625594	0.123985757003441	-0.989959424308608	0.322193952034914	0.749677037984844
CD99	5471.77037415227	0.011149260588747	0.165385726536722	0.0674136808672628	0.946252378208446	0.993293646209494
HS3ST1	104.230977957525	0.105873511761183	0.402245305142625	0.263206333069925	0.792391549774688	0.959626850854062
AOC1	1.58597032962961	-0.748874501276647	1.05286120220741	-0.711275617058133	0.476913458125592	0.84578604951577
WNT16	3.02525384672532	-0.457441701902422	0.865228989951307	-0.528694377113006	0.597017478429192	0.901359092016645
HECW1	132.291763693554	0.160627912746326	0.39874557103003	0.402833095628863	0.687071012430373	0.931208403926151
MAD1L1	235.927034314755	-0.10611976735319	0.203515624205716	-0.521433023962441	0.602065151237868	0.902584860213334
LASP1	8357.2044611063	-0.0788574728784886	0.107328776397295	-0.734728145847718	0.462505075329908	0.839403994509455
SNX11	532.083196310643	-0.0788992331206517	0.0742384211273415	-1.06278166914832	0.287880974299521	0.720974613744617
TMEM176A	12.5554331366217	-0.913438845422242	0.484242922964839	-1.88632358286126	0.0592513632217464	0.359193921444
M6PR	2370.32786621511	0.0699063753284935	0.0612439059698776	1.14144214385798	0.253685975350014	0.688420290082369
KLHL13	507.753620995711	0.413949154572612	0.193886640611106	2.13500606987618	0.032760514316367	0.26101612710416
CYP26B1	429.401195828574	-0.675271397692311	0.709855297318122	-0.951280352831809	0.341462077825262	0.760899537947932
ICA1	1052.46016535158	-0.069239138789586	0.0950521015199328	-0.728433539947207	0.466348238138096	0.841497304573168
DBNDD1	1011.70704905702	-0.0227398984067149	0.167073644111996	-0.136107035478747	0.891736665781256	0.98113995815817
ALS2	3149.35995431678	-0.0829308997911189	0.0977186771545757	-0.848669898180623	0.396065000622684	0.802972095828983
