	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TSPAN6	4038.16606542007	0.0171633189757443	0.121811287779524	0.140900890948708	0.887948238295003	0.998167122051763
TNMD	12.1201748128301	2.21828540276633	0.839750816698878	2.6415995777016	0.00825155469082847	0.23745333666063
DPM1	955.470366148985	-0.00443525523246573	0.0934062730889526	-0.0474834835583468	0.962127893697887	1
SCYL3	330.049505958835	-0.189620267985033	0.157586217585778	-1.20327951828539	0.22886817222037	0.869736238543373
C1orf112	571.246662724163	-0.0294092572123026	0.210769181424035	-0.139533004842561	0.889028976936504	0.998167122051763
FGR	2.42554591457467	-0.470015401524809	0.993912951524746	-0.47289392979915	0.636288855883033	0.978840645671007
CFH	3.07993820717013	-0.0779257412976366	1.36497067399886	-0.0570896816920932	0.954473755835717	1
FUCA2	837.843738905896	0.0634239794256752	0.175166930720966	0.362077357664656	0.717294223300582	0.986538208259833
GCLC	2345.56181209706	0.0499057475479702	0.131496820006388	0.379520565938749	0.704301335182152	0.986538208259833
NFYA	1969.66027367568	0.0399324666515334	0.120724968131211	0.330772227731155	0.740816540199514	0.986887684964484
STPG1	359.555900308022	0.00236992699662274	0.182516352306677	0.0129847378970221	0.989639969229479	1
NIPAL3	536.242871020195	0.129567188926835	0.185379973218	0.698927649398616	0.484597247117474	0.953039722870629
LAS1L	1177.33984479677	-0.0226423841157969	0.0784066584863671	-0.288781393734995	0.772748671425421	0.990456410693368
ENPP4	706.938329115585	0.000717863238393636	0.133173423293012	0.00539043917804961	0.995699072632453	1
SEMA3F	439.953733349676	-0.0203569237771221	0.277189338818621	-0.0734405005036743	0.941455589849942	1
CFTR	745.387549153311	-0.239058761515692	0.521060944749184	-0.458792323479098	0.646383307870818	0.979256988519732
ANKIB1	2673.32225484434	0.0908156551264846	0.0833698824741937	1.0893101013378	0.276017159752507	0.901365886891392
CYP51A1	2332.48858701483	0.0318114471382869	0.185448952199981	0.171537486520725	0.863801157260882	0.997041461906201
KRIT1	1219.95452161549	0.0830956948062112	0.110967744773863	0.748827463111458	0.453961204690763	0.94782173718015
RAD52	576.501059346649	0.106565610158203	0.203208220009558	0.524415843774384	0.599989339045785	0.974540845981703
MYH16	2.87817359493511	-0.555028963838982	0.784824899677104	-0.707201012693831	0.479441569327417	0.95226322395135
BAD	112.194400102266	-0.194385302745206	0.284923498777655	-0.682236823495202	0.495089213775583	0.956045446602518
LAP3	1178.33490753291	0.0615636034127577	0.128513223203341	0.479044894200094	0.631906690989684	0.977179360951469
CD99	5471.77037415227	-0.286018463666175	0.171265219792288	-1.67003238610304	0.0949129561581934	0.694438219582321
HS3ST1	104.230977957525	-0.0492038104728765	0.422277731567563	-0.116520021764406	0.907240419101933	0.999243665113894
WNT16	3.02525384672532	-0.178180155795848	0.888551311349191	-0.200528831053433	0.841067011972693	0.996778555830412
HECW1	132.291763693554	0.186785438242796	0.24588001505025	0.75966091918704	0.447457294786152	0.94782173718015
MAD1L1	235.927034314755	-0.151913595288828	0.211188738598589	-0.719326211695281	0.471939949329525	0.95226322395135
LASP1	8357.2044611063	-0.020368154048015	0.111272015462947	-0.18304830700939	0.85476011538487	0.997041461906201
SNX11	532.083196310643	0.0702129958577278	0.079015641737519	0.888596160377554	0.374220155355833	0.933902301535071
TMEM176A	12.5554331366217	-0.885510235417554	1.08240052887692	-0.818098487383729	0.413300952529184	0.941545133863873
M6PR	2370.32786621511	0.0547348573018528	0.063687173571594	0.859432978923496	0.390101681418408	0.936300798214753
